"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","sponge_rank","sponge_hotspot","sponge_hotspot2"
"255",13035,1.52223462520016e-08,0,"(10 Aristazabal Banks Upwelling",18,18,1,0,0,0,0,1.52223462520016e-08,1,0,0
"256",13050,0.0167222934221626,0.00376816171428967,"(11) Mainland Fjords",134.366585008472,551.5662586,3,0,0,36,0.00376816171428967,0.0167222934221626,5,0,1
"257",13054,0.00600918574829093,0.00368346983450725,"(11) Mainland Fjords",171.529543183333,207.1087045,0,0,0,30,0.00368346983450725,0.00600918574829093,4,0,0
"258",13055,0.00669038522936294,0,"(11) Mainland Fjords",177.65597825,186.8369565,0,0,2,0,0,0.00669038522936294,4,0,0
"259",13193,1.29909663813369e-05,0,"(11) Mainland Fjords",22,27,2,0,0,0,0,1.29909663813369e-05,2,0,0
"260",13206,9.55990408262388e-05,0,"(11) Mainland Fjords",18.6666666666667,30,3,0,0,0,0,9.55990408262388e-05,3,0,0
"261",13207,0.133919363199873,0.073718401709247,"(11) Mainland Fjords",71.0964911072727,114.6,0,0,11,0,0.073718401709247,0.133919363199873,6,0,1
"262",13212,0.0155477444182527,0.00391311802223733,"(11) Mainland Fjords",109.624934186429,157.8731092,0,0,0,14,0.00391311802223733,0.0155477444182527,5,0,1
"263",13213,0.0377895859494667,0.000461608954304812,"(11) Mainland Fjords",55.1299097921154,120.3085366,4,0,26,0,0.000461608954304812,0.0377895859494667,6,0,1
"264",13361,0.141797758252368,0.0416666666666667,"(11) Mainland Fjords",19.8,27,5,0,0,0,0.0416666666666667,0.141797758252368,7,0,1
"265",14312,0.271978264941472,0.125,"(11) Mainland Fjords",21,36,3,0,0,0,0.125,0.271978264941472,9,0,1
"266",14314,0.458633832666659,0.25,"(11) Mainland Fjords",20.3333333333333,34,3,0,0,0,0.25,0.458633832666659,10,1,1
