"","name","height","se","score","minmax_score"
"1","primnoa",42,6,1,1
"2","chrysopathes",21,3,0.5,0.46
"3","calcigorgia",10,0.5,0.238095238095238,0.18
"4","paragorgia",9,2,0.214285714285714,0.15
"5","swiftia",4,0,0.0952380952380952,0.03
"6","stylaster",3,0,0.0714285714285714,0
