"","PU_1Km_ID","raw_score","obs_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","sponge_rank","sponge_hotspot","sponge_hotspot2"
"1",21076,1.94003890440941e-05,0,"(13) Eastern Queen Charlotte Sound",6265,28,28,1,0,0,0,0,1.94003890440941e-05,2,0,0
"2",21082,0.310127897743572,0.377777777777778,"(11) Mainland Fjords",6267,24.5,30,2,0,0,0,0.377777777777778,0.310127897743572,10,1,1
"3",21284,2.87548896129008e-08,0,"(13) Eastern Queen Charlotte Sound",6265,19,19,1,0,0,0,0,2.87548896129008e-08,1,0,0
"4",21500,0.351482944775393,0.155555555555556,"(11) Mainland Fjords",6267,24.4,30,5,0,0,0,0.155555555555556,0.351482944775393,10,1,1
"5",21711,1.94170865945265e-05,0,"(11) Mainland Fjords",6424,23,28,2,0,0,0,0,1.94170865945265e-05,2,0,0
"6",21933,0.000166973632062582,0,"(13) Eastern Queen Charlotte Sound",6423,24.75,30,4,0,0,0,0,0.000166973632062582,4,0,0
"7",21938,1.44457659633688e-08,0,"(11) Mainland Fjords",6424,18,18,1,0,0,0,0,1.44457659633688e-08,1,0,0
"8",21939,0.114966161904497,0.0222222222222222,"(11) Mainland Fjords",6425,22.75,30,4,0,0,0,0.0222222222222222,0.114966161904497,7,0,1
"9",21940,0.156844102433227,0.0666666666666667,"(11) Mainland Fjords",6425,23.5,31,2,0,0,0,0.0666666666666667,0.156844102433227,8,0,1
"10",21941,0.175393092271095,0.111111111111111,"(11) Mainland Fjords",6425,24,30,2,0,0,0,0.111111111111111,0.175393092271095,9,1,1
"11",22157,9.49215005154769e-05,0,"(13) Eastern Queen Charlotte Sound",6423,24.5,30,2,0,0,0,0,9.49215005154769e-05,3,0,0
"12",22158,0.000197594632429593,0,"(13) Eastern Queen Charlotte Sound",6423,24.5,31,2,0,0,0,0,0.000197594632429593,4,0,0
"13",22163,0.277771424465331,0.111111111111111,"(11) Mainland Fjords",6425,24.25,32,4,0,0,0,0.111111111111111,0.277771424465331,9,1,1
"14",22167,0.453181419408578,0.4,"(11) Mainland Fjords",6426,25.5,33,2,0,0,0,0.4,0.453181419408578,10,1,1
"15",22374,0.000252004794221663,0,"(13) Eastern Queen Charlotte Sound",6423,23.5,31,4,0,0,0,0,0.000252004794221663,4,0,0
"16",23031,9.49398245854799e-05,0,"(13) Eastern Queen Charlotte Sound",6581,25,30,2,0,0,0,0,9.49398245854799e-05,3,0,0
"17",23420,0.0109286849169182,0,"(13) Eastern Queen Charlotte Sound",6736,84,84,0,0,2,0,0,0.0109286849169182,6,0,1
"18",23432,3.97226189772339e-06,0,"(11) Mainland Fjords",6739,26,26,1,0,0,0,0,3.97226189772339e-06,2,0,0
"19",23434,1.85928178111329e-06,0,"(11) Mainland Fjords",6740,21,25,2,0,0,0,0,1.85928178111329e-06,1,0,0
"20",23435,9.49066795831863e-05,0,"(11) Mainland Fjords",6740,23.5,30,2,0,0,0,0,9.49066795831863e-05,3,0,0
"21",23845,0.283817157585749,0.333333333333333,"(11) Mainland Fjords",6741,24.5,30,2,0,0,0,0.333333333333333,0.283817157585749,9,1,1
"22",24038,0.0322536300421631,0.0463750193236416,"(13) Eastern Queen Charlotte Sound",6737,76.425,76.425,0,0,1,0,0.0463750193236416,0.0322536300421631,7,0,1
"23",24056,0.485806128575759,0.466666666666667,"(11) Mainland Fjords",6742,26,30,2,0,0,0,0.466666666666667,0.485806128575759,10,1,1
"24",24058,1.8489023919684e-06,0,"(11) Mainland Fjords",6742,25,25,1,0,0,0,0,1.8489023919684e-06,1,0,0
"25",24256,0.00289697101229201,0,"(13) Eastern Queen Charlotte Sound",6895,33.4516666666667,53.11,2,0,3,0,0,0.00289697101229201,5,0,0
"26",24272,0.00081841372400403,0,"(11) Mainland Fjords",6899,30,30,0,0,1,0,0,0.00081841372400403,4,0,0
"27",24275,0.284227086069621,0.333333333333333,"(11) Mainland Fjords",6900,22.5,30,2,0,0,0,0.333333333333333,0.284227086069621,10,1,1
"28",24276,1.85928178111329e-06,0,"(11) Mainland Fjords",6900,21,25,2,0,0,0,0,1.85928178111329e-06,1,0,0
"29",24468,3.49418267221715e-08,0,"(13) Eastern Queen Charlotte Sound",6896,17.5,19,2,0,0,0,0,3.49418267221715e-08,1,0,0
"30",24481,0.241160074856929,0.2,"(11) Mainland Fjords",6899,25.5,33,2,0,0,0,0.2,0.241160074856929,9,1,1
"31",24482,1.12466688447514e-07,0,"(11) Mainland Fjords",6899,18,21,2,0,0,0,0,1.12466688447514e-07,1,0,0
"32",24484,8.80661942176527e-07,0,"(11) Mainland Fjords",6900,24,24,1,0,0,0,0,8.80661942176527e-07,1,0,0
"33",24486,0.532035891191952,0.533333333333333,"(11) Mainland Fjords",6900,25,30,2,0,0,0,0.533333333333333,0.532035891191952,10,1,1
"34",24678,9.49922546192887e-05,0,"(11) Mainland Fjords",6896,22,30,4,0,0,0,0,9.49922546192887e-05,4,0,0
"35",24691,8.71902906265664e-06,0,"(11) Mainland Fjords",6899,21.5,27,2,0,0,0,0,8.71902906265664e-06,2,0,0
"36",24694,0.217590577582023,0.2,"(11) Mainland Fjords",6900,24,30,2,0,0,0,0.2,0.217590577582023,9,1,1
"37",24887,0.000197594632429593,0,"(13) Eastern Queen Charlotte Sound",6895,24.5,31,2,0,0,0,0,0.000197594632429593,4,0,0
"38",24891,0.151295556633253,0.0666666666666667,"(11) Mainland Fjords",6896,24,30,2,0,0,0,0.0666666666666667,0.151295556633253,8,0,1
"39",25100,2.73633516861391e-07,0,"(13) Eastern Queen Charlotte Sound",7051,21,22,2,0,0,0,0,2.73633516861391e-07,1,0,0
"40",25122,0.151350664399376,0.109709735769203,"(11) Mainland Fjords",7057,36.3890034994444,84.32284159,2,0,9,0,0.109709735769203,0.151350664399376,8,0,1
"41",25123,0.127592470712677,0.112625046948719,"(11) Mainland Fjords",7057,63.38477879375,99.28541667,0,0,8,0,0.112625046948719,0.127592470712677,8,0,1
"42",25124,0.00223073187229113,0,"(11) Mainland Fjords",7058,31.39211733,31.45735294,0,0,2,0,0,0.00223073187229113,5,0,0
"43",25319,9.49398245854799e-05,0,"(13) Eastern Queen Charlotte Sound",7052,25,30,2,0,0,0,0,9.49398245854799e-05,3,0,0
"44",25335,0.307457110833579,0.27825011594185,"(11) Mainland Fjords",7057,75.29711292,113,0,0,7,0,0.27825011594185,0.307457110833579,10,1,1
"45",25336,9.49118721963723e-05,0,"(11) Mainland Fjords",7057,24,30,2,0,0,0,0,9.49118721963723e-05,3,0,0
"46",25341,8.71902906265664e-06,0,"(11) Mainland Fjords",7058,21.5,27,2,0,0,0,0,8.71902906265664e-06,2,0,0
"47",25347,9.49118721963723e-05,0,"(11) Mainland Fjords",7060,24,30,2,0,0,0,0,9.49118721963723e-05,3,0,0
"48",25536,0.000379464479095037,0,"(11) Mainland Fjords",7054,26,32,2,0,0,0,0,0.000379464479095037,4,0,0
"49",25544,0.281843159152508,0.25119802135185,"(11) Mainland Fjords",7056,43.111999063,58.71914894,0,0,10,0,0.25119802135185,0.281843159152508,9,1,1
"50",25549,0.00495762380184481,0,"(11) Mainland Fjords",7057,40.64855994125,59.5,2,0,4,0,0,0.00495762380184481,5,0,0
"51",25558,1.85262705913998e-06,0,"(11) Mainland Fjords",7060,20,25,2,0,0,0,0,1.85262705913998e-06,1,0,0
"52",25743,0.151429700475233,0.0666666666666667,"(11) Mainland Fjords",7054,23,30,2,0,0,0,0.0666666666666667,0.151429700475233,8,0,1
"53",25751,0.174490947881971,0.185500077294566,"(11) Mainland Fjords",7056,47.7873595275,63.35862069,0,0,4,0,0.185500077294566,0.174490947881971,9,1,1
"54",25756,0.00743183099928853,0,"(11) Mainland Fjords",7057,61.48468645,63.59042553,0,0,2,0,0,0.00743183099928853,5,0,0
"55",25765,0.289688585069178,0.244444444444444,"(11) Mainland Fjords",7060,21,24,2,0,0,0,0.244444444444444,0.289688585069178,10,1,1
"56",25956,0.150052343647976,0.167631954106265,"(11) Mainland Fjords",7214,32.6096434871429,94,2,0,7,0,0.167631954106265,0.150052343647976,8,0,1
"57",25962,0.213902679034205,0.2,"(11) Mainland Fjords",7215,22.75,30,4,0,0,0,0.2,0.213902679034205,9,1,1
"58",25967,0.263173930516088,0.133333333333333,"(11) Mainland Fjords",7217,24,30,2,0,0,0,0.133333333333333,0.263173930516088,9,1,1
"59",26164,0.00791233390904613,0,"(11) Mainland Fjords",7216,54.7,54.7,0,0,3,0,0,0.00791233390904613,5,0,0
"60",26359,0.124880742124463,0.0444444444444444,"(11) Mainland Fjords",7214,21,27,2,0,0,0,0.0444444444444444,0.124880742124463,7,0,1
"61",26374,0.124997367489506,0.0444444444444444,"(11) Mainland Fjords",7218,27,27,1,0,0,0,0.0444444444444444,0.124997367489506,8,0,1
"62",26549,0.251389096655706,0.133333333333333,"(13) Eastern Queen Charlotte Sound",7208,22,26,2,0,0,0,0.133333333333333,0.251389096655706,9,1,1
"63",26563,9.49398245854799e-05,0,"(11) Mainland Fjords",7214,25,30,2,0,0,0,0,9.49398245854799e-05,4,0,0
"64",26574,0.00508338664428048,0,"(11) Mainland Fjords",7217,185.7,185.7,0,0,2,0,0,0.00508338664428048,5,0,0
