Coral taxa,Mean height,SE,PropMax,MinMaxNorm
Primnoa pacifica,42,6,1.00,1.00
Chrysopathes  Spp.,21,3,0.50,0.46
Calcigorgia spp.,10,0.5,0.24,0.18
Paragorgia pacifica,9,2,0.21,0.15
Swiftia cf spauldingi,4,0,0.10,0.03
Stylaster spp.,3,0,0.07,0.00
