binGrp,coralFix,area.m2,black,bocaccio,brown,canary,china,copper,deacon,dusky,greenstripe,puget.sound,pygmy,quillback,redstripe,rosethorn,sharpchin,silvergray,splitnose,stripetail,tiger,vermillion,widow,yelloweye,yellowtail,blackspotted,shortraker,shortbelly,depth,Glass.sponge.cover,Paragorgia.Pac_count,Stylaster_count,CalcigorgiaNew,ParagorgiaNew,StylasterNew,PU_1Km_ID,PU_4Km_ID,UpperOceanSR
T_103_4,FALSE,102.7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,34.41111111,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_5,FALSE,112.167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,40.45921335,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_6,FALSE,124.7195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,52.24604743,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_7,FALSE,108.6261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,76.40389805,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_104_1,FALSE,124.907,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,39.62833333,1,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_10,FALSE,33.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,86.52,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_2,FALSE,102.6212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,47.47,1,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_3,FALSE,111.8542,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,58.71914894,1,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_4,FALSE,124.1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,49.27936508,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_5,FALSE,126.6419,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,39.8754717,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_6,FALSE,45.8649,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30.59545455,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_7,FALSE,138.3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,40.1,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_8,FALSE,122.1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,44.27058824,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_104_9,FALSE,112.9471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,58.21041667,0,0,0,,,,25544,7056,(11) Mainland Fjords
T_105_1,FALSE,129.8055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,25.82727273,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_2,FALSE,123.6147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26.99069767,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_3,FALSE,126.6954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,24.70425532,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_4,FALSE,120.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26.58181818,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_5,FALSE,38.2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,27.24666667,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_6,FALSE,15.3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,29.625,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_7,FALSE,118.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,32.57368421,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_8,FALSE,124.9634,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,41.0537037,0,0,0,,,,40617,9732,(13) Eastern Queen Charlotte Sound
T_105_9,FALSE,90.6678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,44.60789474,0,0,0,,,,40888,9890,(13) Eastern Queen Charlotte Sound
T_106_1,FALSE,128.8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,19.73764706,0,0,0,,,,36579,9102,(13) Eastern Queen Charlotte Sound
T_106_2,FALSE,127.5995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26.49803922,0,0,0,,,,36579,9102,(13) Eastern Queen Charlotte Sound
T_106_3,FALSE,126.3711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,28.66176471,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_106_4,FALSE,126.7705,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,31.49333333,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_106_5,FALSE,128.616,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,36.01142857,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_106_6,FALSE,124.9368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,42.6,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_106_7,FALSE,55.7253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,54.85789474,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_107_1,FALSE,129.9747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,55.7,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_107_2,FALSE,127.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,66.2375,0.0125,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_107_3,FALSE,125.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,78.14791667,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_107_4,FALSE,52.5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,85.12352941,0,0,0,,,,36360,9102,(13) Eastern Queen Charlotte Sound
T_108_1,FALSE,128.0987,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,38.76730769,0,0,0,,,,49702,11152,(11) Mainland Fjords
T_108_10,FALSE,16.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,53.88589744,0,0,0,,,,49701,11152,(11) Mainland Fjords
T_108_11,FALSE,123.1767,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,58.33787188,0,0,0,,,,49701,11152,(11) Mainland Fjords
T_108_12,FALSE,103.2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,62.70918367,0,0,0,,,,49701,11152,(11) Mainland Fjords
T_108_2,FALSE,121.0108,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,NA,NA,NA,32.20444444,0,0,0,,,,49702,11152,(11) Mainland Fjords
T_108_3,FALSE,121.9327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,34.58134172,0,0,0,,,,49702,11152,(11) Mainland Fjords
T_108_4,FALSE,20.4592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,42.06792453,0,0,0,,,,49702,11152,(11) Mainland Fjords
T_108_5,FALSE,155.4634,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,43.45454545,0,0,0,,,,49702,11152,(11) Mainland Fjords
T_108_6,FALSE,124.7796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,49.78820533,0,0,0,,,,49702,11152,(11) Mainland Fjords
