"","PU_1Km_ID","raw_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_score","coral_rank","coral_hotspot"
"50",25549,1.21019113113819e-05,"(11) Mainland Fjords",7057,41.64855994125,59.5,2,0,4,0,1.10326372561198e-05,6,0
"51",25558,1.40239365625063e-05,"(11) Mainland Fjords",7060,25,25,1,0,0,0,1.27848404285902e-05,8,0
"52",25743,1.01666186182427e-05,"(11) Mainland Fjords",7054,30,30,1,0,0,0,9.26833889708767e-06,5,0
"53",25751,3.86803727504245e-07,"(11) Mainland Fjords",7056,49.9791921754166,63.35862069,0,0,3,0,3.52627374723511e-07,1,0
"54",25756,4.97484577148894e-07,"(11) Mainland Fjords",7057,61.48468645,63.59042553,0,0,2,0,4.53528929354811e-07,2,0
"55",25765,1.55779507756065e-05,"(11) Mainland Fjords",7060,22.5,24,2,0,0,0,1.42015484727042e-05,9,1
"56",25956,1.25757568006002e-05,"(11) Mainland Fjords",7214,45.6930678751389,94,2,0,3,0,1.14646157480691e-05,6,0
"57",25962,8.64294966990759e-06,"(11) Mainland Fjords",7215,25.125,30,4,0,0,0,7.87929493759468e-06,4,0
"58",25967,1.36155460175469e-05,"(11) Mainland Fjords",7217,27,30,2,0,0,0,1.24125335569369e-05,7,0
"59",26164,4.20049133121127e-07,"(11) Mainland Fjords",7216,54.7,54.7,0,0,3,0,3.82935355931295e-07,1,0
"60",26359,1.23441569225863e-05,"(11) Mainland Fjords",7214,27,27,1,0,0,0,1.12534790625535e-05,6,0
"61",26374,1.23441569225863e-05,"(11) Mainland Fjords",7218,27,27,1,0,0,0,1.12534790625535e-05,6,0
"62",26549,1.48403520613028e-05,"(13) Eastern Queen Charlotte Sound",7208,24,26,2,0,0,0,1.35291208828706e-05,8,0
"63",26563,1.06925305387368e-05,"(11) Mainland Fjords",7214,25,30,2,0,0,0,9.74778344912499e-06,5,0
"64",26574,2.46385290417505e-06,"(11) Mainland Fjords",7217,185.7,185.7,0,0,2,0,2.24615720978183e-06,3,0
"65",26575,8.57540026479649e-07,"(11) Mainland Fjords",7217,97.1889533354545,132.2,0,0,11,0,7.81771391421067e-07,2,0
"66",26769,1.17533771060633e-06,"(11) Mainland Fjords",7372,114.93055555,123.0333333,0,0,6,0,1.07148980693343e-06,3,0
"67",26774,9.50400318675249e-06,"(11) Mainland Fjords",7374,27,33,2,0,0,0,8.66426938212904e-06,4,0
"68",26776,1.36155460175469e-05,"(11) Mainland Fjords",7374,27,30,2,0,0,0,1.24125335569369e-05,7,0
"69",26780,4.72993088130009e-07,"(11) Mainland Fjords",7375,63.4720261572727,117.75,0,0,11,0,4.31201405441008e-07,2,0
"70",26977,1.24652336031432e-06,"(11) Mainland Fjords",7372,113.05,114.375,0,0,2,0,1.13638579161403e-06,3,0
"71",26978,1.07155266556525e-06,"(11) Mainland Fjords",7373,101.2666667,101.2666667,0,0,1,0,9.76874772573401e-07,3,0
"72",26981,1.49400619876955e-05,"(11) Mainland Fjords",7373,24,24,1,0,0,0,1.36200208589504e-05,8,0
"73",27174,1.36155460175469e-05,"(11) Mainland Fjords",7370,27,30,2,0,0,0,1.24125335569369e-05,7,0
"74",27192,9.99022337141053e-06,"(11) Mainland Fjords",7376,28.675,31,1,0,2,0,9.10752919340287e-06,4,0
"75",27385,4.97486667383873e-08,"(11) Mainland Fjords",7372,23.46666667,23.46666667,0,0,1,0,4.53530834905407e-08,1,0
"76",27586,5.45947378787831e-08,"(11) Mainland Fjords",7530,32.0340277775,37.4,0,0,4,0,4.97709761385436e-08,1,0
"77",27593,5.05660010609942e-07,"(11) Mainland Fjords",7534,61.45071429,61.45071429,0,0,1,0,4.60982015852186e-07,2,0
"78",27594,1.36155460175469e-05,"(11) Mainland Fjords",7534,27,30,2,0,0,0,1.24125335569369e-05,7,0
"79",27778,1.41891561344771e-05,"(11) Mainland Fjords",7528,25.5,28,2,0,0,0,1.29354618931063e-05,8,0
"80",27786,4.79818044270578e-08,"(11) Mainland Fjords",7530,20.9,20.9,0,0,1,0,4.37423337121916e-08,1,0
"81",27787,4.87948947034816e-08,"(11) Mainland Fjords",7530,22.8902777766667,25.6375,0,0,3,0,4.44835827467822e-08,1,0
"82",27980,1.36155460175469e-05,"(11) Mainland Fjords",7528,27,30,2,0,0,0,1.24125335569369e-05,7,0
"83",27986,9.57163241618068e-07,"(11) Mainland Fjords",7529,90.291666675,137.9666667,0,0,4,0,8.72592317688874e-07,2,0
"84",27987,4.87765886818366e-07,"(11) Mainland Fjords",7530,60.675,63.4,0,0,2,0,4.44668941683242e-07,2,0
"85",27991,6.10142214638242e-07,"(11) Mainland Fjords",7533,70,70,0,0,1,0,5.56232611159392e-07,2,0
"86",27992,2.95860528745188e-07,"(11) Mainland Fjords",7534,36.333333335,41.66666667,0,0,1,0,2.69719535043986e-07,1,0
