name,height,se,score,minmax_score
primnoa,42,6,1.00,1.00
chrysopathes,21,3,0.50,0.46
calcigorgia,10,0.5,0.24,0.18
paragorgia,9,2,0.21,0.15
swiftia,4,0,0.10,0.03
stylaster,3,0,0.07,0.00
