"","PU_4Km_ID","rockfish_hotspot","composite_score","rockfish_hotspot_rank"
"1",6265,0.368047980350461,0.569780952309235,2
"2",6267,0.391846333143852,0.606623562082824,7
"3",6423,0.376839153990102,0.583390708525099,3
"4",6424,0.392126112564168,0.607056693068606,7
"5",6425,0.390022280469125,0.603799717025778,6
"6",6426,0.378579273836266,0.586084615830704,4
"7",6581,0.372274766941566,0.576324508089094,3
"8",6582,0.438529681763947,0.678894799132987,10
"9",6736,0.630136763462159,0.97552478029806,10
"10",6737,0.38000782973279,0.58829618601341,4
"11",6739,0.374651676079995,0.58000423906101,3
"12",6740,0.368387536413935,0.570306624470306,2
"13",6741,0.367455615506466,0.568863902840292,1
"14",6742,0.370518231183112,0.57360518704768,2
"15",6895,0.389980267402061,0.603734675926142,6
"16",6896,0.370843021125743,0.574107999541412,2
"17",6899,0.383523342958251,0.59373860814422,6
"18",6900,0.371467169281273,0.575074253262193,2
"19",7051,0.382526044610634,0.592194674655709,5
"20",7052,0.372094019019582,0.576044689346392,2
"21",7054,0.402890194421447,0.623720739983181,8
"22",7056,0.380846476135467,0.589594507893925,5
"23",7057,0.386886392954082,0.598944999515973,6
"24",7058,0.380078103354095,0.588404977728098,4
"25",7060,0.370821689211332,0.574074975264261,2
"26",7208,0.372049256765231,0.57597539218604,2
"27",7214,0.381970708251565,0.591334949575243,5
"28",7215,0.375128838518694,0.580742941847721,3
"29",7216,0.390670700307415,0.604803546126011,7
"30",7217,0.388255204633366,0.601064078722473,6
"31",7218,0.37599612816588,0.582085606792196,3
"32",7370,0.369268952294278,0.571671158461783,2
"33",7372,0.390356850521468,0.604317670263443,7
"34",7373,0.377777413024821,0.584843242311063,4
"35",7374,0.381012755379726,0.589851927445726,5
"36",7375,0.39517830771087,0.611781845087278,7
"37",7376,0.511870044734412,0.792434185536426,10
"38",7524,0.420057486450945,0.650297698758567,9
"39",7528,0.378597070932926,0.586112167800079,4
"40",7529,0.419816839343967,0.649925149131603,9
"41",7530,0.537963839165172,0.832830405143345,10
"42",7533,0.377391656525899,0.58424604651853,4
"43",7534,0.384499401172284,0.595249659442942,6
"44",7686,0.381935801247746,0.591280909485525,5
"45",7687,0.381874165175482,0.591185489698362,5
"46",7688,0.39443497738207,0.610631083541947,7
"47",7689,0.370198454086233,0.57311013502046,2
"48",7843,0.389890078019428,0.603595052303493,6
"49",7845,0.381548381888575,0.590681139392503,5
"50",7846,0.38097450390978,0.589792709734622,5
"51",7847,0.489413643038243,0.75766907167356,10
"52",7850,0.383590860449634,0.593843133050187,6
"53",7851,0.366443999918856,0.567297804604051,1
"54",7852,0.388601907496928,0.60160081495882,6
"55",7853,0.367963652538935,0.569650403078367,2
"56",7997,0.439611197377477,0.680569110714937,10
"57",7999,0.375733760910027,0.581679431856112,3
"58",8000,0.387522111522869,0.599929165578179,6
"59",8001,0.399138298998878,0.617912370800445,8
"60",8002,0.365764725280981,0.566246208696148,1
"61",8003,0.391993447157885,0.606851311635842,7
"62",8009,0.366801245910078,0.567850862824593,1
"63",8010,0.378129161456335,0.585387789671683,4
"64",8011,0.417563853372939,0.646437265592915,9
"65",8012,0.366045617458085,0.566681062358473,1
"66",8155,0.404540820290391,0.626276100234357,8
"67",8156,0.552283007584256,0.854998138302301,10
"68",8157,0.398602951012536,0.617083590038806,8
"69",8159,0.427439536829635,0.661725968764994,9
"70",8160,0.380392541526132,0.588891764480561,5
"71",8165,0.367881708844106,0.569523544736607,2
"72",8168,0.394969497640872,0.611458582885372,7
"73",8312,0.48546704601759,0.751559281839453,10
"74",8313,0.383995802801849,0.594470030768402,6
"75",8314,0.425238828657827,0.658319017321615,9
"76",8315,0.424696426322324,0.657479315609453,9
"77",8316,0.392296964676889,0.607321191951055,7
"78",8318,0.527583152918686,0.816759899092709,10
"79",8326,0.380627123424319,0.589254924460996,5
"80",8470,0.391344653616794,0.60584690400034,7
"81",8473,0.395179441459584,0.611783600261758,7
"82",8476,0.413225494823764,0.639720983484115,9
"83",8484,0.377904981649249,0.585040733334494,4
"84",8625,0.40426292475119,0.625845885714996,8
"85",8628,0.395149021509361,0.611736506651324,7
"86",8629,0.407572059655504,0.630968810273105,8
"87",8630,0.392481901721088,0.607607495940716,7
"88",8632,0.36936031328375,0.571812595867676,2
"89",8634,0.429815672289733,0.665404501993137,9
"90",8643,0.365947518777418,0.566529194225309,1
"91",8783,0.471329527727293,0.72967276414395,10
"92",8786,0.477696182204619,0.739529083550079,10
"93",8787,0.378575873248421,0.586079351326389,4
"94",8788,0.561567075960239,0.869370952725939,10
"95",8790,0.365802340105725,0.566304440806656,1
"96",8792,0.392685007099661,0.607921926618781,7
"97",8940,0.367168494475104,0.56841940618928,1
"98",8941,0.40282768022195,0.623623960753234,8
"99",8944,0.388997659110464,0.602213484347805,6
"100",8948,0.437057164587669,0.676615171791486,9
"101",8950,0.39015632757591,0.604007237491142,6
