"","X","survey_id","species","gear","effort","sample_size","depth","counts","PU_4Km_ID","PU_1Km_ID","predicted_counts_mm","predicted_counts_TMB","predicted_counts_TMB2","predicted_counts_TMB_space"
"28",91637,"2018_08_27 Spiller DC1  bnGrp 15","stylaster","mid_video",120.7984671,1,113.2225806,0,10682,46673,6.41366676243211,808.909603038539,6.41366676243211,2.23012612721901e-12
"29",212913,"2018_08_27 Spiller DC1  bnGrp 16","calcigorgia","mid_video",120.5994354,1,106.7967742,0,10682,46673,2.3717605733999e-124,0.00345241544565985,2.3717605733999e-124,2.13961543361922e-18
"30",72773,"2018_08_27 Spiller DC1  bnGrp 16","paragorgia","mid_video",120.5994354,1,106.7967742,0,10682,46673,2.81148449235573,2.34072837076738,2.81148449235573,3.0089063389844e-12
"31",145538,"2018_08_27 Spiller DC1  bnGrp 16","primnoa","mid_video",120.5994354,1,106.7967742,0,10682,46673,8.06519544440427,5.10969894001871,8.06519544440427,6.59446214314329e-12
"32",91638,"2018_08_27 Spiller DC1  bnGrp 16","stylaster","mid_video",120.5994354,1,106.7967742,0,10682,46673,10.4450265440753,903.217604918472,10.4450265440753,2.34566527737476e-12
"33",212914,"2018_08_27 Spiller DC1  bnGrp 17","calcigorgia","mid_video",120.79518,1,101.5112903,0,10682,46673,1.4918311481735e-108,0.00732384762546083,1.4918311481735e-108,4.55005337913912e-18
"34",72774,"2018_08_27 Spiller DC1  bnGrp 17","paragorgia","mid_video",120.79518,1,101.5112903,0,10682,46673,2.68019218068745,2.27936899311221,2.68019218068745,3.10352895439575e-12
"35",145539,"2018_08_27 Spiller DC1  bnGrp 17","primnoa","mid_video",120.79518,1,101.5112903,0,10682,46673,8.14654165279023,5.14710063977296,8.14654165279023,7.00043615493922e-12
"36",91639,"2018_08_27 Spiller DC1  bnGrp 17","stylaster","mid_video",120.79518,1,101.5112903,0,10682,46673,15.8667671259914,989.477803502423,15.8667671259914,2.45246702374425e-12
"37",212915,"2018_08_27 Spiller DC1  bnGrp 18","calcigorgia","mid_video",120.8920573,1,100.6677419,0,10682,46673,3.96665292477344e-106,0.00826061642388994,3.96665292477344e-106,5.13510320990034e-18
"38",72775,"2018_08_27 Spiller DC1  bnGrp 18","paragorgia","mid_video",120.8920573,1,100.6677419,0,10682,46673,2.66052698471815,2.2704899360711,2.66052698471815,3.12059695139413e-12
"39",145540,"2018_08_27 Spiller DC1  bnGrp 18","primnoa","mid_video",120.8920573,1,100.6677419,0,10682,46673,8.16230953981735,5.15482919044998,8.16230953981735,7.07133996362551e-12
"40",91640,"2018_08_27 Spiller DC1  bnGrp 18","stylaster","mid_video",120.8920573,1,100.6677419,0,10682,46673,16.9906731261896,1004.32530449672,16.9906731261896,2.4712978036159e-12
"41",212916,"2018_08_27 Spiller DC1  bnGrp 19","calcigorgia","mid_video",120.858595,1,107.3241935,0,10682,46673,5.52194832773066e-126,0.00320981938086141,5.52194832773066e-126,1.98902477935564e-18
"42",72776,"2018_08_27 Spiller DC1  bnGrp 19","paragorgia","mid_video",120.858595,1,107.3241935,0,10682,46673,2.83100137436264,2.3520772961309,2.83100137436264,3.00655655673835e-12
