"","PU_4Km_ID","species","normalized_lambda","normalized_cpue","depth","max_depth","UpperOceanSR","sample_sizes","dive_samps","hook_samps","mid_samps","deep_samps"
"1",6265,"black",0.00114699788777992,0,18,28,"(13) Eastern Queen Charlotte Sound",3,3,0,0,0
"2",6267,"black",0.112669423892042,0.0967611880123639,24.4285714285714,30,"(11) Mainland Fjords",7,7,0,0,0
"3",6423,"black",0.030566507409092,0.0322537293374546,21.5,31,"(13) Eastern Queen Charlotte Sound",14,14,0,0,0
"4",6424,"black",0.38107207149186,0.444026340545626,15.8,28,"(11) Mainland Fjords",5,5,0,0,0
"5",6425,"black",0.152620887409047,0.155032925682032,19.9333333333333,32,"(11) Mainland Fjords",15,15,0,0,0
"6",6426,"black",0.000950008074958456,0,25.5,33,"(11) Mainland Fjords",2,2,0,0,0
"7",6581,"black",0.0294020593146241,0,29.5,34,"(13) Eastern Queen Charlotte Sound",3,2,1,0,0
"8",6582,"black",0.0530339457995556,0,41,41,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0
"9",6736,"black",0.0603074957086236,0,55,55,"(13) Eastern Queen Charlotte Sound",1,0,1,2,0
"10",6739,"black",0.0856987525005616,0.0752587017873942,33.5,41,"(11) Mainland Fjords",2,1,1,0,0
"11",6740,"black",0.0295728353654729,0.0188146754468485,25.25,41,"(11) Mainland Fjords",8,6,2,0,0
"12",6741,"black",0.000508417413584425,0,19.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0
"13",6742,"black",0.099843778072904,0.0948259642521167,18.4,30,"(11) Mainland Fjords",5,5,0,0,0
"14",6895,"black",0.115011309050283,0.0839604891815616,39.5511111111111,80,"(13) Eastern Queen Charlotte Sound",9,4,2,3,0
"15",6896,"black",0.00911864814915886,0.00827845719661336,18.6,30,"(11) Mainland Fjords",10,10,0,0,0
"16",6899,"black",0.043165408034673,0,24.0625,33,"(11) Mainland Fjords",9,8,0,1,0
"17",6900,"black",0.000515545819187767,0,16.6666666666667,30,"(11) Mainland Fjords",15,15,0,0,0
"18",7051,"black",0.247773122613534,0.297271872060207,21,22,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"19",7052,"black",0.0540350515263833,0.0564440263405456,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"20",7054,"black",0.000662588620476856,0,20.6,32,"(11) Mainland Fjords",5,5,0,0,0
"21",7056,"black",0.0123119642011402,0,35.2239081692857,63.35862069,"(11) Mainland Fjords",15,0,1,14,0
"22",7057,"black",0.0261990527426472,0.0150443561808792,33.9847636184091,69.20033784,"(11) Mainland Fjords",30,8,0,22,0
"23",7058,"black",0.0242809069977193,0,23.696058665,31.45735294,"(11) Mainland Fjords",5,3,0,2,0
"24",7060,"black",0.000627185929363737,0,18.375,30,"(11) Mainland Fjords",8,8,0,0,0
"25",7208,"black",0.0297107833795814,0,29.25,43,"(13) Eastern Queen Charlotte Sound",4,2,2,0,0
"26",7214,"black",0.0582422044847864,0.0447445903483995,32.5991671566667,68.45779645,"(11) Mainland Fjords",17,8,3,6,0
"27",7215,"black",0.00260039317061821,0.00188146754468485,22.75,30,"(11) Mainland Fjords",4,4,0,0,0
